id;date;kto_from;kto_to;description;amount;currency_symbol
7324;16.01.2011 16:08:38;1298;1505;Kufsteintreffen 15.1.2011, Lavendelblüten;0,15;Tt.
7325;16.01.2011 16:09:50;1298;3026;Kufsteintreffen 15.1.2011, Eier, Brot;0,6;Tt.
7326;16.01.2011 16:11:49;1330;1650;Kufsteintreffen 15.1.2011, Panner, Butter, Frischk., Camenbert;1,55;Tt.
7327;16.01.2011 16:13:07;3323;1650;Kufsteintreffen 15.1.2011,  Milchprodukte;1,35;Tt.
7328;16.01.2011 16:14:20;3323;3026;Kufsteintreffen 15.1.2011, Brot 2x;0,6;Tt.
7329;16.01.2011 16:16:06;1505;1650;Kufsteintreffen 15.1.2011, Topfen, Joghurt;0,25;Tt.
7330;16.01.2011 16:36:59;1505;1298;Kufsteintreffen 15.1.2011,  Obstler;0,6;Tt.
7331;16.01.2011 16:38:46;1420;1650;Kufsteintreffen 15.1.2011, Camenbert;0,3;Tt.
7332;16.01.2011 16:39:44;1420;1268;Kufsteintreffen 15.1.2011,  Honig;1,16;Tt.
7333;16.01.2011 16:40:39;1420;3323;Kufsteintreffen 15.1.2011, Salbe;0,7;Tt.
7334;16.01.2011 16:41:37;1420;1604;Kufsteintreffen 15.1.2011, Thermoskanne, Kaftan;0,5;Tt.
7335;16.01.2011 16:43:17;1420;1473;Kufsteintreffen 15.1.2011, Schwedenbitter, Bettwäsche;6,1;Tt.
7336;16.01.2011 16:44:23;1420;3026;Kufsteintreffen 15.1.2011,  2 x Brot;0,6;Tt.
7337;16.01.2011 16:46:34;1420;1298;Kufsteintreffen 15.1.2011,  Wein, Spiralnudeln, Häkeldecke;3,25;Tt.
7338;16.01.2011 16:48:34;1515;1650;Milchprodukte, Kufsteintreffen 15.1.2011, ;0,9;Tt.
7339;16.01.2011 16:49:35;1515;3026;Kufsteintreffen 15.1.2011, 2 x Brot;0,6;Tt.
7340;16.01.2011 16:50:36;1515;1702;Calcium Pulver;6;Tt.
7341;16.01.2011 16:55:03;1515;3323;Balsam und Öl;1,4;Tt.
7342;16.01.2011 16:55:45;1515;3026;Eier, danke;0,3;Tt.
7343;16.01.2011 16:56:49;1714;1604;danke für den super guten Kirschkuchen;1,5;Tt.
7344;16.01.2011 16:58:02;3205;3026;Kufsteintreffen 15.1.2011,  Eier;0,27;Tt.
7346;16.01.2011 16:59:22;1710;1650;Feta Kufsteintreffen 15.1.2011, ;0,4;Tt.
7347;16.01.2011 17:01:04;1710;1298;Socken, Kufsteintreffen 15.1.2011, ;1,2;Tt.
7348;16.01.2011 17:02:35;1604;1650;Kufsteintreffen 15.1.2011, Käse;0,4;Tt.
7350;16.01.2011 17:05:18;3205;1473;Kufsteintreffen 15.1.2011,  Marmelade, Spitzwegerich, Lebenskraft;3,35;Tt.
7351;16.01.2011 17:10:11;1473;1650;Kufsteintreffen 15.1.2011, Topfen;0,3;Tt.
7352;16.01.2011 17:12:38;999;1597;Raumbenutzung Kufsteintreffen 15.1.2011, ;2;Tt.
7353;16.01.2011 17:16:26;999;1714;Kufsteintreffen 15.1.2011,  Vorführung Vortrag;4;Tt.
7354;16.01.2011 17:18:16;999;1274;Kufsteintreffen 15.1.2011,  super gutes Tiramissu ;2;Tt.
7356;16.01.2011 19:07:37;1377;1170;für äpfel;2;Tt.
7357;18.01.2011 11:05:48;10249;1515;MMMMPROBE;1,1;Tt.
7358;18.01.2011 11:09:47;1515;10249;RÜCKÜBERWEISUNG TEST;1,1;Tt.
7359;18.01.2011 11:13:22;1515;10249;Kufsteintreffen 15.1.2011 Apfelsaft;0,15;Tt.
7360;18.01.2011 17:54:02;1515;1667;danke für Deine Massage am 17.1.2011;2;Tt.
7361;18.01.2011 17:54:54;1515;10249;danke für Deine super Hilfe im Hause;5;Tt.
7362;18.01.2011 17:57:13;999;1515;Organisation und Buchungen im Monat August 2010;30;Tt.
7363;18.01.2011 17:58:31;999;1515;Organisation und Buchungen im September 2010;30;Tt.
7364;19.01.2011 22:03:37;1665;9063;Russischunterricht 4x (bis einschl. Dezember);6;Tt.
7365;20.01.2011 09:00:29;3205;1330;Horoskop Uli ;2;Tt.
7366;20.01.2011 09:00:51;3205;1668;Dienstagabend;1;Tt.
7367;20.01.2011 11:00:27;1473;1715;Sitzung, danke - leichter, lockerer - wir machen mit der Lunge weiter,möchte da noch mehr Freiraum bekommen. lg Gertraud;1;Tt.
7368;21.01.2011 13:40:07;1295;1420;Hilfe im Haushalt am 20.01.2011;1,7;Tt.
7369;21.01.2011 18:45:07;1702;1295;Massage Marie Christin (30 min), Barbara am 13.01. und am 20.01.2011 (2 x 60 min);5;Tt.
7370;22.01.2011 20:06:31;1650;3026;4 Brote kufsteintreffen 15.1.2011;1,2;Tt.
7372;23.01.2011 16:19:51;1515;10249;danke bei der Mithilfe (Küche) am 21.01.2011;4;Tt.
7373;24.01.2011 17:19:56;1298;1667;Massage am 24.1.2011;1;Tt.
7374;24.01.2011 17:21:02;1515;1667;danke wieder einmal für deine Massage am 24.01.2011;2;Tt.
7375;24.01.2011 17:36:23;1536;1552;Schneeschaufeln;2,5;Tt.
7376;26.01.2011 00:08:19;1515;10249;danke für´s  Fensterputzen und und und 25.1.2011;4;Tt.
7377;26.01.2011 00:09:33;999;1295;danke für Deine Mithilfe im Jahre 2010;12;Tt.
7378;26.01.2011 00:13:36;999;1295;manuelle Rückbuchung, da Mithilfe;1,25;Tt.
7379;26.01.2011 11:08:19;10239;1667;Bauwageneinsatz vom 15.01.2011;1;Tt.
7380;26.01.2011 13:06:29;5056;1573;Kernteamsitzung am 25.1.;1;Tt.
7381;26.01.2011 13:07:20;5056;1561;Kernteamsitzung am 25.1.;1;Tt.
7382;26.01.2011 13:08:25;5056;1572;Kernteamsitzung am 25.1.;1;Tt.
7383;26.01.2011 13:09:20;5056;1575;Kernteamseitzung am 25. 1;1;Tt.
7384;26.01.2011 13:10:09;5056;1564;Kernteamsitzung am 25.1.;1;Tt.
7385;26.01.2011 13:10:54;5056;1595;Raum für Sitzung am 25.1.;1;Tt.
7386;26.01.2011 13:11:37;5056;1586;Kernteamsitzung am 25.1.;1;Tt.
7387;27.01.2011 11:12:22;1473;1330;für Quantenseminar;5;Tt.
7388;27.01.2011 22:07:28;1665;1664;Hafer;1;Tt.
7389;27.01.2011 22:19:51;1665;9063;Russischunterricht Januar 2011;3;Tt.
7390;27.01.2011 22:57:45;999;1665;Aufwand Druck Marktzeitung 1/2011, Empfänger: Günter Mair, Kto 5153;8;Tt.
7391;27.01.2011 22:58:31;999;1665;Raummiete und Essen/Getränke Tauschkreistreffen 09 - 12 / 2010 in Jurte Schwaz (Empfänger: Andreas Kreutner (677);8;Tt.
7392;27.01.2011 22:59:09;999;1665;Teilaufwand Regionalleitung Schwaz 09 - 12 / 2010;4,5;Tt.
7393;27.01.2011 22:59:43;999;1665;Cyclos Administration 10 - 12 / 2010;12;Tt.
7394;27.01.2011 23:00:13;999;1665;Webseitenadministration 10 - 12/2010;6;Tt.
7396;27.01.2011 23:04:36;999;1515;Organisation und Buchungen Oktober 2010;30;Tt.
7397;27.01.2011 23:05:17;999;1515;Organisation und Buchungen November 2010;30;Tt.
7398;27.01.2011 23:05:58;999;1515;Organisation und Buchungen Dezember 2010;30;Tt.
7399;27.01.2011 23:08:58;1714;1604;danke für deinen Kuchen;1;Tt.
7400;28.01.2011 00:21:32;1665;1664;Tauschtreffen Schwaz in Jurte: Raummiete und Essen/Getränke 09-12/2010;8;Tt.
7401;28.01.2011 00:22:25;1665;6140;Aufwand Druck für Marktzeitung 1-2011;8;Tt.
7403;29.01.2011 12:34:31;5056;1572;vom Verw.konto für Fahrt nach Irschen;1;Tt.
7404;29.01.2011 12:35:34;5056;1561;vom verw.konto für fahrt nach irschen;1;Tt.
7406;29.01.2011 20:46:38;5256;1667;Massage;3;Tt.
7407;31.01.2011 08:04:38;1536;1552;Schnee;1,5;Tt.
7408;31.01.2011 15:09:47;1377;1680;für übernachtungen;4;Tt.
7418;01.02.2011 22:47:19;5056;1602;Für Raumbenützung und Bewirtung am 1. 2. 11 danke;2;Tt.
7425;02.02.2011 11:01:47;1645;1631;Schnaps;2,2;Tt.
7428;02.02.2011 20:09:25;1285;1295;Tausch zwischen Mitgliedern;2;Tt.
7429;02.02.2011 21:40:55;9224;1531;Radlicht;1;Tt.
7430;02.02.2011 22:21:57;1515;10249;danke bei der Mithilfe im Bad am 01.02.2011;5;Tt.
7431;02.02.2011 22:28:40;1515;1667;danke für deine Massage am 31.01-2011;2;Tt.
7436;04.02.2011 12:30:00;1531;9224;Tausch zwischen Mitgliedern;1;Tt.
7438;04.02.2011 16:12:34;1649;1377;Danke für Johanniskrautöl 100 ml vom 02.02.2011;0,5;Tt.
7439;06.02.2011 08:57:47;3421;1464;Honig;1,2;Tt.
7440;06.02.2011 09:14:14;1684;1377;Salbe;0,5;Tt.
7441;07.02.2011 00:30:41;1515;1311;danke für 2 x Apfelsaft;3,6;Tt.
7442;07.02.2011 00:31:59;1714;1604;super guten Käsekuchen mit Mandeln, danke;1;Tt.
7448;07.02.2011 16:59:55;1515;1295;deine super gute Massage;2;Tt.
7449;07.02.2011 17:03:26;1295;1420;Hilfe im Haushalt am 27.01. und am 03.02.2011;4;Tt.
7450;07.02.2011 17:04:14;1295;1420;Retour vom Qi Gong Kurs;13;Tt.
7451;07.02.2011 20:18:42;1619;1652;Ich möchte für Maja Pogacnik, Künstlerin, 6 Talente überweisen. Bitte leiten sie es weiter. Danke;6;Tt.
7453;08.02.2011 13:30:30;1545;1634;Fahrt nach Ehrwald;0,25;Tt.
7454;09.02.2011 13:38:06;1515;1667;Massage am 05.02.2011;2;Tt.
7455;09.02.2011 13:41:14;1515;10249;danke für deine super Mithilfe am 08.02.2011;5;Tt.
7459;10.02.2011 11:33:30;1515;1644;danke für den super guten Kuchen;2,5;Tt.
7460;10.02.2011 11:36:42;1515;3026;"danke für das wunderschöne, genau meinem Geschmach entsprechende
Vogelhäuschen";2,5;Tt.
7461;11.02.2011 20:02:28;1274;1692;"Beatrix Schumacher, Kto.474/III  3Talente für Übernachten
(in ihrer Währung sind es 60 Talente, weil 1 Stunde=20Tt).
Datum war der 17./18. 12. 2010";3;Tt.
7462;11.02.2011 20:04:48;1515;1667;Massage am 11.02.2011, danke für´s Helfen Vogelhaus;2,5;Tt.
7463;11.02.2011 20:10:31;1515;3026;2 x Brot, 1 x Eier;0,9;Tt.
7464;11.02.2011 20:12:16;1714;1604;für Kirschkuchen der nicht zu übertreffen ist, danke;1;Tt.
7465;11.02.2011 20:13:33;3205;3026;1 x Eier;0,3;Tt.
7466;11.02.2011 20:15:28;1505;3026;1 x Eier;0,3;Tt.
7467;12.02.2011 10:08:28;1420;1295;Ayurveda Ernährungsberatung;2;Tt.
7468;13.02.2011 15:47:31;1620;3026;Brot, Eier;1,11;Tt.
7469;13.02.2011 22:47:43;1515;1667;"danke für dein extra kommen und Massage,
werde morgens mit dem Gedanken an dich wach werden und massieren";2;Tt.
7470;14.02.2011 20:44:19;1684;1377;Creme, Basar IBK 05.02.2011;0,5;Tt.
7471;14.02.2011 20:45:33;1688;1377;Salz, Basar IBK 05.02.2011;0,4;Tt.
7472;14.02.2011 20:48:56;1705;1377;Likör, Basar IBK 05.02.2011;1,7;Tt.
7473;14.02.2011 20:50:45;1718;1377;2 Joh.-Öl, Creme, Basar IBK 05.02.2011;2;Tt.
7474;14.02.2011 20:52:02;1477;1377;Salbe. Basar IBK 05.02.2011;1,5;Tt.
7475;14.02.2011 20:53:19;999;1377;danke für deinen Kuchen am Basar IBK 05.02.2011;1;Tt.
7476;14.02.2011 20:55:29;1377;1684;Rückbuchung, da selbst schon gebucht;0,5;Tt.
7477;14.02.2011 20:57:10;1515;10249;danke für dein Helfen am 14.2.2011;2,5;Tt.
7478;15.02.2011 09:22:12;1473;1715;für Shiatsusitzung, danke;1;Tt.
7480;17.02.2011 11:18:30;1665;9842;Käse und Apfelsaft (Tauschtreffen Februar Schwaz);0,75;Tt.
7481;17.02.2011 11:22:04;9842;10239;5 x Schokolade, Reis, Kaffee (Tauschtreffen Februar Schwaz);0,8;Tt.
7482;17.02.2011 11:24:07;1665;10239;5xSchokolade, Nudeln, Reis (Tauschtreffen Februar Schwaz);0,69;Tt.
7483;17.02.2011 15:00:22;1536;1694;ausführliche Beratung - danke;2;Tt.
7485;18.02.2011 19:17:54;1531;1377;Lebertee;0,2;Tt.
7487;21.02.2011 08:30:04;1378;1464;Almrose-Honig vom Tauschbasar Innsbruck ;0,4;Tt.
7488;22.02.2011 10:28:45;1631;1596;Bild Mohn ;10;Tt.
7490;24.02.2011 19:43:46;3205;10249;Putzfee;5;Tt.
7491;24.02.2011 19:45:09;3205;1330;Quakraabende Uli;5;Tt.
7492;24.02.2011 19:45:38;3205;3026;Super Regal - Danke!;5;Tt.
7493;24.02.2011 20:39:24;1377;1718;Für behandlung;2;Tt.
7494;25.02.2011 13:56:06;1295;1420;Hilfe im Haushalt am 10.02. und am 17.02.2011;4;Tt.
7495;25.02.2011 22:41:51;1702;1295;"Massagen am 31.01., 07.02., 24.02.2011

Marie Christine am 10.02.2011";7;Tt.
7496;26.02.2011 00:10:53;1702;1295;Massagen am 31.01. und am 07.02.2011;4;Tt.
7497;26.02.2011 19:41:23;1295;1702;"Sorry, habe dir eine doppelte Rechnung gestellt.

Deshalb buche ich dir die 4 Tt. wieder zurück";4;Tt.
7498;27.02.2011 08:08:02;1650;1295;Massagen am 31.01. und am 21.02.2011;4;Tt.
7500;27.02.2011 21:55:30;1542;1665;Visitenkarten;4,6;Tt.
7501;28.02.2011 08:25:38;1718;1377;Tausch zwischen Mitgliedern;0,3;Tt.
7503;01.03.2011 11:23:49;1220;1338;Digit.Fotobearbeitung am 22.2.11;2,5;Tt.
7515;01.03.2011 23:20:36;5056;1602;Raum für TK Treffen und Bewirtung;2;Tt.
7517;02.03.2011 00:19:44;1665;1667;Fußzonenreflexmassage 2 x mit Extraservice;3;Tt.
7518;02.03.2011 09:42:43;1473;1715;Shiatsu, danke schon im voraus;1;Tt.
7519;02.03.2011 09:43:07;1536;1552;Schnee;2;Tt.
7521;02.03.2011 19:13:51;1596;1552;Handwerk;2;Tt.
7522;02.03.2011 19:14:23;1596;1619;Buch;0,4;Tt.
7523;02.03.2011 19:15:15;1671;1619;Buch;1;Tt.
7524;02.03.2011 19:16:08;1619;1671;Putzen;2;Tt.
7525;02.03.2011 19:16:44;1619;1634;Lampe;1;Tt.
7526;02.03.2011 19:18:59;1536;1619;Buch;0,6;Tt.
7528;06.03.2011 00:14:32;10249;1669;danke für die malerarbeiten;5,55;Tt.
7532;07.03.2011 09:04:07;1473;10249;den guten Geist im Haus, danke;3,25;Tt.
7533;07.03.2011 20:28:25;1650;1295;massage am 7.3.11;2;Tt.
7534;08.03.2011 14:25:36;1669;1311;Hallo Christine 1,5 Tl.für den Abfelsaft  Spät aber doch.;1,5;Tt.
7535;08.03.2011 18:40:04;9019;10239;Guthabenübertrag Konto 8032 Peer Weyrauch zu seiner Verfügung;2,9;Tt.
7537;10.03.2011 12:34:11;1294;1540;Couchsurfing-Buch für Brigitte Grones, 6330 Kufstein, Sparchnerstr. 24i/8;1,5;Tt.
7538;10.03.2011 20:50:56;1667;1311;Apfelsaft;1,8;Tt.
7540;13.03.2011 10:50:34;1668;1330;Quantenheilungsabend 9.3.2011;0,8;Tt.
7541;13.03.2011 16:33:37;1274;1330;2 Quanten und 1 Tarot Abend;1,91;Tt.
7542;13.03.2011 20:30:51;1473;10249;der gute Geist im Hause, danke;2,5;Tt.
7543;14.03.2011 11:38:15;1227;1378;Carsharing vom 10.6.2010 bis 3.3.2011;11,5;Tt.
7547;14.03.2011 20:32:39;1170;1377;Honigschnaps;1;Tt.
7548;15.03.2011 09:12:39;1665;1667;2x Fußzonenreflexmassage + Extras;3;Tt.
7549;15.03.2011 13:11:29;5056;1573;Kernkreissitzung Folder;1,5;Tt.
7550;15.03.2011 13:12:35;5056;1561;Kernteamsitzung  Folder;1,5;Tt.
7551;15.03.2011 13:14:15;5256;1667;Baumschnitt am 13.03.2011;2;Tt.
7552;15.03.2011 13:14:22;5056;1586;Kernteamsitzung Folder;1,5;Tt.
7553;15.03.2011 13:15:31;5056;1564;Kernteamsitzung   Folder;1,5;Tt.
7555;15.03.2011 20:41:40;1668;1330;3 Quanten-Abende;2,22;Tt.
7557;16.03.2011 10:02:50;5056;1561;Für Raum und Bewirtung bei Arbeitstreffen am 15.3.;1;Tt.
7560;16.03.2011 19:11:54;3026;1620;Sitzung Daniel 17.02.2011;1;Tt.
7561;18.03.2011 10:47:38;5056;1564;"für  Werbung und Organisation des Vortrags von Rolf
und Gestaltung des Folders";10;Tt.
7564;20.03.2011 08:44:04;1620;3026;Eier;0,3;Tt.
7565;20.03.2011 20:33:42;1645;1632;Englischnachhilfe Dominik & Annabell am 20.03.11;2;Tt.
7566;21.03.2011 14:31:09;1135;1595;Tausch zwischen Mitgliedern;13,5;Tt.
7567;21.03.2011 20:45:35;1377;1477;Haar schnitt;0,75;Tt.
7568;22.03.2011 17:32:12;1619;1671;Wohnung putzen;3;Tt.
7570;23.03.2011 22:48:27;1645;1632;Nachhilfe Englisch Dominik am 23.03.;1;Tt.
7571;24.03.2011 20:26:38;1650;1295;eine wohltuende massage;2;Tt.
7572;24.03.2011 20:27:32;1650;1473;Apfelbaum schneiden;1,25;Tt.
7573;24.03.2011 20:47:04;1295;1420;Hilfe im Haushalt am 24.03.,17.03.,10.03.,03.03.,24.02.2011;12;Tt.
7574;27.03.2011 12:38:19;1665;9063;Russischunterricht Feb (3x), März (4x);10,5;Tt.
7575;27.03.2011 12:42:01;1665;3305;Balkontisch klappbar, Betonsockel für Schirmständer;2;Tt.
7576;27.03.2011 12:44:42;1665;1667;Fußmassage etc. (15. u. 30.3.);3;Tt.
7577;27.03.2011 12:48:15;999;6140;Flyer für Tauschkreis (für Region Innsbruck);2,5;Tt.
7579;27.03.2011 13:18:08;1665;1604;2 x köstlicher Kuchen, Danke!;2;Tt.
7580;29.03.2011 12:38:19;1531;1668;vielen Dank wieder für die tolle Übernachtungsmöglichkeit!!!;5;Tt.
7582;31.03.2011 10:25:15;1220;1694;Infos über E-Mobilität-17.3.11-DANKE;0,5;Tt.
7583;31.03.2011 10:26:39;1220;1654;Herstellung 3er DVDs v.Konzert;1;Tt.
7584;01.04.2011 23:49:11;1542;1227;Übersiedelungshilfe;3;Tt.
7585;02.04.2011 08:48:08;1420;1650;5 Gläser Frischkäse in Öl;2;Tt.
7586;02.04.2011 18:40:06;1295;1420;  Hilfe im Haushalt am 31.03.2011;1,7;Tt.
7587;04.04.2011 08:15:51;1668;1330;Quantenenergie-Abend 30.3.2011 - und danke für das Ausleihen des Steinarmbands;1,5;Tt.
7588;04.04.2011 14:27:37;1277;1473;Baumschnitt;3,1;Tt.
7589;04.04.2011 17:40:36;1667;3205;Putzhilfe;20;Tt.
7590;04.04.2011 20:38:40;1650;1295;massage am 31.3.2011;2;Tt.
7591;05.04.2011 13:14:08;5056;1575;kernteamsitzung am 29-3.;1;Tt.
7592;05.04.2011 13:16:25;5056;1561;kernteamsitzung am 29.3.;1;Tt.
7593;05.04.2011 13:17:16;5056;1564;Kernteamsitzung am 29.3.;1;Tt.
7594;05.04.2011 13:18:37;5056;1572;kernteamsitzung am 29.3.;1;Tt.
7595;05.04.2011 13:19:22;5056;1586;Kernteamsitzung am 29.3.;1;Tt.
7596;05.04.2011 15:30:03;1667;1665;Brennholz machen Mithilfe. Danke!;5,5;Tt.
7604;05.04.2011 21:14:02;5056;1602;Für Raum und Bewirtung am 5.4.;2;Tt.
7606;06.04.2011 17:51:55;1619;1624;Kekse;0,6;Tt.
7607;06.04.2011 17:52:36;1619;1624;Kekse;0,15;Tt.
7608;06.04.2011 17:53:19;1545;1624;Eier;0,2;Tt.
7609;06.04.2011 17:53:50;1536;1624;Kekse;0,6;Tt.
7610;06.04.2011 18:27:30;9631;1531;Tausch zwischen Mitgliedern;9;Tt.
7612;07.04.2011 06:53:45;999;1665;Einrichtung interner Bereich auf Webseite talentenetztirol.net. Umfangreiche Listen und Auswertemöglichkeiten für Mitglieder, Inserate, Konten- und Umsätze (erstellt Dez.2010/Jan 2011.;25;Tt.
7613;07.04.2011 06:54:29;999;1665;Marktzeitung: Auslistungen Inserate, Adressen. Koordination Drucker;9,5;Tt.
7614;07.04.2011 06:55:20;999;1665;Administration Cyclos (01-03/2011);6;Tt.
7615;07.04.2011 06:56:05;999;1665;Webseitenadministration 01-03/2011;6;Tt.
7620;11.04.2011 18:22:18;1542;1665;Rest Visitenkarten hilfreiche Gespräche;14;Tt.
7621;11.04.2011 20:14:43;1473;1715;Shiatsusitzung, danke;1;Tt.
7622;13.04.2011 14:35:02;1714;1604;danke für´s abholen vom Flughafen und den super guten Kuchen;5;Tt.
7623;13.04.2011 14:36:56;1515;10249;danke für´s saubermachen;3,5;Tt.
7626;14.04.2011 21:35:41;1650;1295;massage am 7.4.2011;2;Tt.
7627;15.04.2011 18:54:37;1536;1552;Holz;1;Tt.
7653;15.04.2011 19:24:42;1621;1627;Brot 12.2.11;0,6;Tt.
7654;15.04.2011 19:25:55;1621;1627;Brot 17.2.11;0,53;Tt.
7655;15.04.2011 19:26:19;1621;1627;Brot 22.2.11;0,86;Tt.
7656;15.04.2011 19:26:48;1621;1627;Kuchen 25.3.11;0,69;Tt.
7658;17.04.2011 20:12:15;2968;1680;Übernachtung Resourcentausch Salzburg;18;Tt.
7659;17.04.2011 20:18:30;1515;1701;"danke für die wunderschöne Tisch-Decke
Kufsteintreffen am 16.04.2011";1;Tt.
7660;17.04.2011 20:20:05;1515;1695;Olivenseife, Kufsteintreffen am 16.04.2011;0,5;Tt.
7661;17.04.2011 20:21:20;1515;10249;danke für den super Kuchen, Kufsteintreffen am 16.04.2011;2;Tt.
7664;17.04.2011 20:29:07;999;1597;Raumbenutzung im Februar. März, April 2011, danke;6;Tt.
7665;17.04.2011 20:30:56;999;1597;danke für das reichhaltige Buffet, Kufsteintreffen am 16.04.2011;2;Tt.
7666;17.04.2011 20:32:58;1668;1695;Seife, Kufsteintreffen am 16.04.2011;1;Tt.
7667;17.04.2011 20:34:39;1668;1473;Milchstein, Kufsteintreffen am 16.04.2011;0,2;Tt.
7671;17.04.2011 21:53:17;1695;1473;Pflanze, Kufsteintreffen am 16.04.2011;0,2;Tt.
7672;17.04.2011 21:55:53;1505;1597;Filzblume, Kufsteintreffen am 16.04.2011;0,3;Tt.
7673;17.04.2011 21:57:08;1420;1515;Pesto, Kufsteintreffen am 16.04.2011;0,5;Tt.
7674;17.04.2011 21:59:29;1420;1515;"Ausgleich für Zahlung am 17/04/2011
Pesto, Kufsteintreffen am 16.04.2011";-0,5;Tt.
7675;17.04.2011 22:02:02;1420;1515;Pesto, Kufsteintreffen am 16.04.2011;0,65;Tt.
7676;17.04.2011 22:02:58;1420;1515;Mandelöl, Kufsteintreffen am 16.04.2011;0,95;Tt.
7677;17.04.2011 22:04:50;1330;1515;Pesto, Kufsteintreffen am 16.04.2011;0,5;Tt.
7678;17.04.2011 22:06:56;1667;1604;27 Gläser;2,7;Tt.
7679;17.04.2011 22:08:25;1473;1604;4 Gläser;0,4;Tt.
7681;17.04.2011 22:11:31;1505;1295;1 x Salz groß,   1 x Salz klein;1,3;Tt.
7682;17.04.2011 22:13:04;1505;1473;Baumschneiden;1,5;Tt.
7683;17.04.2011 22:15:11;1420;1295;Salz 1 kg;0,8;Tt.
7684;17.04.2011 22:16:03;1420;1473;Marmeladen;4,7;Tt.
7685;17.04.2011 22:18:06;1420;1650;Frischkäse in Öl, Butter, Topfen;0,75;Tt.
7686;17.04.2011 22:19:51;1667;1650;Butter;0,2;Tt.
7687;17.04.2011 22:21:52;1710;1650;Butter;0,2;Tt.
7689;17.04.2011 22:24:52;1473;1650;Butter, Topfen;0,7;Tt.
7690;17.04.2011 22:27:10;3026;1650;2 x Butter,  1 x Käse,  1 x Topfen;1,1;Tt.
7691;17.04.2011 22:29:59;1420;1473;Heilsalben;2,3;Tt.
